"Gene","Direction"
"TENM3","Both"
"DPYSL3","Both"
"CPEB4","Both"
"LEMD2","Both"
"PLAGL1","Both"
"TBXT","Both"
"C7orf50","Both"
"GPR146","Both"
"UMAD1","Both"
"AC007161.3","Both"
"GLCCI1-DT","Both"
"GLCCI1","Both"
"AC003991.1","Both"
"GAL3ST4","Both"
"FOXP2","Both"
"PRAG1","Both"
"TRPS1","Both"
"NDRG1","Both"
"KCNK9","Both"
"STX17-AS1","Both"
"NR4A3","Both"
"CRAT","Both"
"PTPA","Both"
"ADARB2","Both"
"MAP3K8","Both"
"CEP164P1","Both"
"MRPL43","Both"
"SEMA4G","Both"
"SFXN3","Both"
"BNIP3","Both"
"SLC1A2","Both"
"FIBP","Both"
"ANKRD42","Both"
"BCL9L","Both"
"TP53AIP1","Both"
"FOXM1","Both"
"TULP3","Both"
"C1RL","Both"
"C1RL-AS1","Both"
"SINHCAF","Both"
"DDN-AS1","Both"
"TMBIM6","Both"
"STAT6","Both"
"LRP1","Both"
"LINC01053","Both"
"LINC00463","Both"
"SOX1-OT","Both"
"ATP11A","Both"
"AL136295.1","Both"
"NEDD8-MDP1","Both"
"AL359317.1","Both"
"GALNT16","Both"
"AREL1","Both"
"BRF1","Both"
"DUOXA1","Both"
"RMI2","Both"
"USB1","Both"
"CMTM3","Both"
"ALOX12","Both"
"BCL6B","Both"
"B9D1","Both"
"PDK2","Both"
"GPRC5C","Both"
"PLEKHJ1","Both"
"SF3A2","Both"
"SLC25A23","Both"
"CRB3","Both"
"AC011452.1","Both"
"ZNF580","Both"
"ZNF581","Both"
"REM1","Both"
"TOX2","Both"
"UCKL1","Both"
"CYB5R3","Both"
"CELSR1","Both"
"RERE","Both"
"CENPS-CORT","Both"
"DHRS3","Both"
"ZBTB17","Both"
"PAX7","Both"
"TMEM200B","Both"
"S1PR1","Both"
"PLEKHO1","Both"
"CERS2","Both"
"ATP8B2","Both"
"PPOX","Both"
"B4GALT3","Both"
"DENND1B","Both"
"ADORA1","Both"
"ITPKB","Both"
"OBSCN","Both"
"ALKAL2","Both"
"AC079779.2","Both"
"ID2-AS1","Both"
"KCNS3","Both"
"B3GNT2","Both"
"NAGK","Both"
"NPAS2","Both"
"CXCR4","Both"
"RND3","Both"
"ERBB4","Both"
"SEMA3F-AS1","Both"
"SEMA3F","Both"
"NECTIN3-AS1","Both"
"NECTIN3","Both"
"AMOTL2","Both"
"SSR3","Both"
"PDE6B","Both"
"CORIN","Both"
"AC107068.2","Both"
"TRIM23","Both"
"ELL2","Both"
"AC104123.1","Both"
"AC034228.3","Both"
"ACSL6","Both"
"JADE2","Both"
"TXNDC15","Both"
"PPP2R2B","Both"
"MAT2B","Both"
"CCND3","Both"
"TAF8","Both"
"KLC4","Both"
"PTK7","Both"
"SLC22A7","Both"
"CRIP3","Both"
"ZNF318","Both"
"RUNX2","Both"
"PRKN","Both"
"PACRG","Both"
"RADIL","Both"
"BZW2","Both"
"COG5","Both"
"AC002066.1","Both"
"CAV2","Both"
"GCC1","Both"
"ARF5","Both"
"AC009264.1","Both"
"CHRM2","Both"
"GFRA2","Both"
"PAX5","Both"
"RNLS","Both"
"ADD3-AS1","Both"
"ADD3","Both"
"SOX6","Both"
"DNAJC24","Both"
"CD82","Both"
"KCNK4","Both"
"KCNK4-TEX40","Both"
"AP001107.9","Both"
"ARHGEF17","Both"
"FXYD6-FXYD2","Both"
"FXYD6","Both"
"FEZ1","Both"
"NTF3","Both"
"PLEKHG6","Both"
"LAG3","Both"
"SLC11A2","Both"
"ITGA7","Both"
"CTDSP2","Both"
"TAFA2","Both"
"NTN4","Both"
"AC090001.1","Both"
"AC007375.2","Both"
"TMEM63C","Both"
"ZDHHC22","Both"
"TJP1","Both"
"SCAMP5","Both"
"AC093525.2","Both"
"ATP6V0C","Both"
"AC093525.1","Both"
"SHISA9","Both"
"GPRC5B","Both"
"ATP6V0D1","Both"
"AC027682.6","Both"
"RIPOR1","Both"
"CDH3","Both"
"DPH1","Both"
"YBX2","Both"
"CHRNB1","Both"
"USP43","Both"
"PMP22","Both"
"AC005703.2","Both"
"AC002094.1","Both"
"PIPOX","Both"
"SEZ6","Both"
"MYO18A","Both"
"LASP1","Both"
"CAVIN1","Both"
"PYY","Both"
"FAM117A","Both"
"KAT7","Both"
"WFIKKN2","Both"
"RAB37","Both"
"USH1G","Both"
"OTOP2","Both"
"TMEM94","Both"
"CASKIN2","Both"
"TBC1D16","Both"
"GPS1","Both"
"GNAL","Both"
"POU2F2","Both"
"RTN2","Both"
"PPM1N","Both"
"FBXO46","Both"
"STRN4","Both"
"FKRP","Both"
"HCK","Both"
"ARFRP1","Both"
"FAM118A","Both"
"ISG15","Both"
"CLSTN1","Both"
"TRNP1","Both"
"SLC44A5","Both"
"NEXN","Both"
"SLC35A3","Both"
"AC118553.2","Both"
"ATP1A1","Both"
"IGSF3","Both"
"AL450992.1","Both"
"ADAM15","Both"
"CCT3","Both"
"SH2D2A","Both"
"NTRK1","Both"
"AL590714.1","Both"
"STUM","Both"
"GNG4","Both"
"EDARADD","Both"
"ALK","Both"
"RETSAT","Both"
"ELMOD3","Both"
"AMER3","Both"
"EIF4E2","Both"
"STK25","Both"
"METTL6","Both"
"EAF1","Both"
"TGFBR2","Both"
"MYRIP","Both"
"FOXP1","Both"
"AC097634.4","Both"
"ALDH1L1","Both"
"ALDH1L1-AS2","Both"
"WWTR1","Both"
"ETV5","Both"
"DGKG","Both"
"CRMP1","Both"
"KLF3-AS1","Both"
"PARM1","Both"
"MAPK10","Both"
"PTPN13","Both"
"GRID2","Both"
"SLC39A8","Both"
"TMEM192","Both"
"BRD9","Both"
"TRIP13","Both"
"SV2C","Both"
"SLC25A46","Both"
"TRIM36","Both"
"SEMA6A","Both"
"SNX24","Both"
"MACROH2A1","Both"
"TGFBI","Both"
"GABRA6","Both"
"SLIT3","Both"
"HNRNPH1","Both"
"GFOD1","Both"
"RIPOR2","Both"
"ZNF311","Both"
"HSPA1L","Both"
"FOXP4-AS1","Both"
"FOXP4","Both"
"GRIK2","Both"
"AL356534.1","Both"
"RSPO3","Both"
"SGK1","Both"
"ACTB","Both"
"KIAA0895","Both"
"MAGI2","Both"
"FAM200A","Both"
"ZNF655","Both"
"AC005020.2","Both"
"CEP41","Both"
"DPP6","Both"
"SLC39A14","Both"
"ADRA1A","Both"
"RUNX1T1","Both"
"GDF6","Both"
"COX6C","Both"
"SLC45A4","Both"
"WHRN","Both"
"LMX1B","Both"
"PTRH1","Both"
"CFAP157","Both"
"TTC16","Both"
"AL158151.3","Both"
"AL158151.1","Both"
"FRMD4A","Both"
"MLLT10","Both"
"BX842242.1","Both"
"HTRA1","Both"
"ACP2","Both"
"NR1H3","Both"
"MADD","Both"
"CLP1","Both"
"STIP1","Both"
"SYT12","Both"
"FGF3","Both"
"ARAP1","Both"
"MAP6","Both"
"TENM4","Both"
"TRPC6","Both"
"AP002433.1","Both"
"HOATZ","Both"
"HSPB2-C11orf52","Both"
"MCAM","Both"
"ITFG2-AS1","Both"
"RAPGEF3","Both"
"SLC48A1","Both"
"GPD1","Both"
"AC074032.1","Both"
"HSPB8","Both"
"PXN","Both"
"TM9SF2","Both"
"SAMD4A","Both"
"PRKCH","Both"
"AL359220.1","Both"
"HIF1A-AS1","Both"
"ZBTB25","Both"
"RPS6KL1","Both"
"ZFYVE21","Both"
"PPP1R13B","Both"
"PACS2","Both"
"THBS1","Both"
"CCDC9B","Both"
"TUBGCP4","Both"
"ALDH1A2","Both"
"LARP6","Both"
"LRRC49","Both"
"AC015712.5","Both"
"ALDH1A3","Both"
"FBXL16","Both"
"TBL3","Both"
"NOXO1","Both"
"AC106820.2","Both"
"SRRM2","Both"
"SPN","Both"
"QPRT","Both"
"ZNF423","Both"
"GLOD4","Both"
"MRM3","Both"
"PER1","Both"
"C17orf102","Both"
"TMEM132E","Both"
"MLLT6","Both"
"AC073508.2","Both"
"TTC25","Both"
"CNP","Both"
"NGFR","Both"
"AC007780.1","Both"
"PRKAR1A","Both"
"UNC13D","Both"
"EPB41L3","Both"
"TCF4","Both"
"APC2","Both"
"C19orf25","Both"
"TNFAIP8L1","Both"
"MYDGF","Both"
"USHBP1","Both"
"TGFB1","Both"
"AC011462.1","Both"
"TMEM91","Both"
"B9D2","Both"
"PLCG1-AS1","Both"
"PLCG1","Both"
"ADAMTS5","Both"
"ABCG1","Both"
"MN1","Both"
"PLEKHM2","Both"
"AL450998.2","Both"
"SLC25A34","Both"
"FBLIM1","Both"
"EPHA2","Both"
"MAN1C1","Both"
"WDTC1","Both"
"MANEAL","Both"
"MACF1","Both"
"EBNA1BP2","Both"
"CFAP57","Both"
"BTBD19","Both"
"TGFBR3","Both"
"SCNM1","Both"
"LYSMD1","Both"
"TMCO1","Both"
"UCK2","Both"
"GPR161","Both"
"RASAL2","Both"
"GLUL","Both"
"ELF3-AS1","Both"
"ELF3","Both"
"ATP2B4","Both"
"CD34","Both"
"LPGAT1","Both"
"TRIB2","Both"
"MFSD2B","Both"
"WDCP","Both"
"FKBP1B","Both"
"GALNT14","Both"
"ABCG5","Both"
"ABCG8","Both"
"TGFA","Both"
"TCF7L1","Both"
"ACVR2A","Both"
"ICA1L","Both"
"B3GNT7","Both"
"VGLL4","Both"
"PPARG","Both"
"IQSEC1","Both"
"UBE2E2","Both"
"UBE2E1","Both"
"RARB","Both"
"P4HTM","Both"
"MGLL","Both"
"MME","Both"
"NAT8L","Both"
"ZFYVE28","Both"
"CFAP99","Both"
"MFSD10","Both"
"NOP14-AS1","Both"
"NOP14","Both"
"GRK4","Both"
"HS3ST1","Both"
"PCDH7","Both"
"LIMCH1","Both"
"TET2","Both"
"INTS12","Both"
"NPNT","Both"
"PDE5A","Both"
"CBR4","Both"
"CTD-2194D22.4","Both"
"CTNND2","Both"
"MARCHF11","Both"
"TTC33","Both"
"NNT","Both"
"LVRN","Both"
"ATXN1","Both"
"OR2I1P","Both"
"SFTA2","Both"
"MUCL3","Both"
"HCG21","Both"
"NFKBIE","Both"
"TMEM151B","Both"
"AL353588.1","Both"
"AL591242.1","Both"
"LMBRD1","Both"
"TENT5A","Both"
"TBX18","Both"
"BACH2","Both"
"AL132996.1","Both"
"EZR","Both"
"PDE10A","Both"
"SEMA3C","Both"
"STAG3","Both"
"LAMB1","Both"
"GRM8","Both"
"COPG2","Both"
"TSGA13","Both"
"PTPRN2","Both"
"AC022784.1","Both"
"SOX7","Both"
"AC105001.2","Both"
"AC105001.1","Both"
"LONRF1","Both"
"PDLIM2","Both"
"AC144573.1","Both"
"FGFR1","Both"
"AC012349.1","Both"
"DENND3","Both"
"ADGRB1","Both"
"NFIB","Both"
"AL136366.1","Both"
"B4GALT1","Both"
"B4GALT1-AS1","Both"
"CIZ1","Both"
"DNM1","Both"
"NSMF","Both"
"SKIDA1","Both"
"AC010997.3","Both"
"TCF7L2","Both"
"AC068896.1","Both"
"FAM53B","Both"
"TNNT3","Both"
"SPON1","Both"
"CSRP3-AS1","Both"
"DGKZ","Both"
"ASRGL1","Both"
"CDCA5","Both"
"ACTN3","Both"
"ME3","Both"
"PKNOX2","Both"
"SCNN1A","Both"
"LTBR","Both"
"PTHLH","Both"
"AC008011.2","Both"
"COL2A1","Both"
"AC073611.1","Both"
"MYG1","Both"
