"","ONTOLOGY","TERM","N","DE","P.DE","FDR"
"GO:0009071","BP","serine family amino acid catabolic process",10,10,0.636507591715174,1
"GO:0098966","CC","perisynaptic extracellular matrix",11,11,0.636562102224846,1
"GO:0048671","BP","negative regulation of collateral sprouting",11,11,0.636627630593408,1
"GO:0015840","BP","urea transport",10,10,0.636639982928333,1
"GO:0003337","BP","mesenchymal to epithelial transition involved in metanephros morphogenesis",11,11,0.636652262253644,1
"GO:0002834","BP","regulation of response to tumor cell",30,29,0.636801651096654,1
"GO:1904030","BP","negative regulation of cyclin-dependent protein kinase activity",11,11,0.636814516825117,1
"GO:2000739","BP","regulation of mesenchymal stem cell differentiation",11,11,0.636850429877969,1
"GO:0051018","MF","protein kinase A binding",52,50,0.636947630388558,1
"GO:0002507","BP","tolerance induction",29,28,0.637171872524134,1
"GO:0007440","BP","foregut morphogenesis",11,11,0.637208843629525,1
"GO:0005165","MF","neurotrophin receptor binding",11,11,0.637234834329909,1
"GO:0002579","BP","positive regulation of antigen processing and presentation",10,10,0.637413439205067,1
"GO:1900027","BP","regulation of ruffle assembly",30,29,0.637515441077169,1
"GO:1902017","BP","regulation of cilium assembly",74,71,0.637533845883863,1
"GO:0021889","BP","olfactory bulb interneuron differentiation",11,11,0.637597639285325,1
"GO:0009218","BP","pyrimidine ribonucleotide metabolic process",30,29,0.63763971370197,1
"GO:0071349","BP","cellular response to interleukin-12",11,11,0.63766695121195,1
"GO:0045586","BP","regulation of gamma-delta T cell differentiation",11,11,0.637678592826856,1
"GO:2000818","BP","negative regulation of myoblast proliferation",9,9,0.637702275735241,1
"GO:0019870","MF","potassium channel inhibitor activity",11,11,0.637743658793523,1
"GO:0032794","MF","GTPase activating protein binding",11,11,0.637745181683782,1
"GO:0005921","CC","gap junction",29,28,0.637810463821876,1
"GO:0005883","CC","neurofilament",11,11,0.637814850418674,1
"GO:0016891","MF","RNA endonuclease activity producing 5'-phosphomonoesters, hydrolytic mechanism",30,29,0.637986258792937,1
"GO:1903939","BP","regulation of TORC2 signaling",11,11,0.638078332400565,1
"GO:0006007","BP","glucose catabolic process",30,29,0.638178770518106,1
"GO:1901523","BP","icosanoid catabolic process",10,10,0.638238295297505,1
"GO:0098976","BP","excitatory chemical synaptic transmission",11,11,0.638343446817651,1
"GO:0099519","BP","dense core granule cytoskeletal transport",11,11,0.638362590786318,1
"GO:1901950","BP","dense core granule transport",11,11,0.638362590786318,1
"GO:0101023","BP","vascular endothelial cell proliferation",48,46,0.638369308761786,1
"GO:0006221","BP","pyrimidine nucleotide biosynthetic process",30,29,0.638434524777249,1
"GO:0010951","BP","negative regulation of endopeptidase activity",10,10,0.638479091069742,1
"GO:0034354","BP","'de novo' NAD+ biosynthetic process from L-tryptophan",10,10,0.638548346525912,1
"GO:0017154","MF","semaphorin receptor activity",11,11,0.638858797062304,1
"GO:0009069","BP","serine family amino acid metabolic process",29,28,0.638872459337819,1
"GO:0031094","CC","platelet dense tubular network",11,11,0.63888172758057,1
"GO:0060579","BP","ventral spinal cord interneuron fate commitment",11,11,0.638970618442132,1
"GO:0060581","BP","cell fate commitment involved in pattern specification",11,11,0.638970618442132,1
"GO:0015858","BP","nucleoside transport",10,10,0.639023692012375,1
"GO:0015791","BP","polyol transmembrane transport",10,10,0.639136784396252,1
"GO:0000255","BP","allantoin metabolic process",10,10,0.639281650061831,1
"GO:0060900","BP","embryonic camera-type eye formation",11,11,0.63929911616139,1
"GO:0046823","BP","negative regulation of nucleocytoplasmic transport",30,29,0.639420599909904,1
"GO:0045028","MF","G protein-coupled purinergic nucleotide receptor activity",10,10,0.639499323198792,1
"GO:0051409","BP","response to nitrosative stress",10,10,0.639510749736834,1
"GO:0001736","BP","establishment of planar polarity",31,30,0.639603510465274,1
"GO:0007164","BP","establishment of tissue polarity",31,30,0.639603510465274,1
"GO:2000279","BP","negative regulation of DNA biosynthetic process",30,29,0.639731051246149,1
"GO:0000086","BP","G2/M transition of mitotic cell cycle",140,134,0.639755841402769,1
"GO:0018342","BP","protein prenylation",10,10,0.639815540926811,1
"GO:0097354","BP","prenylation",10,10,0.639815540926811,1
"GO:1902749","BP","regulation of cell cycle G2/M phase transition",117,112,0.639842672374201,1
"GO:0070679","MF","inositol 1,4,5 trisphosphate binding",11,11,0.640070338345094,1
"GO:0005337","MF","nucleoside transmembrane transporter activity",10,10,0.640192192650407,1
"GO:0050775","BP","positive regulation of dendrite morphogenesis",31,30,0.640254405096022,1
"GO:0010660","BP","regulation of muscle cell apoptotic process",91,87,0.640385752064419,1
"GO:0004536","MF","DNA nuclease activity",72,69,0.640439540516234,1
"GO:0008172","MF","S-methyltransferase activity",10,10,0.640560467805207,1
"GO:0009226","BP","nucleotide-sugar biosynthetic process",30,29,0.640927728895247,1
"GO:0140513","CC","nuclear protein-containing complex",1222,1169,0.64107592678547,1
"GO:0030250","MF","guanylate cyclase activator activity",10,10,0.641156707298983,1
"GO:0008209","BP","androgen metabolic process",29,28,0.641353768239819,1
"GO:0101021","MF","estrogen 2-hydroxylase activity",9,9,0.641551847230845,1
"GO:0015203","MF","polyamine transmembrane transporter activity",10,10,0.641698533765362,1
"GO:0002604","BP","regulation of dendritic cell antigen processing and presentation",10,10,0.641789923729039,1
"GO:0101019","CC","nucleolar exosome (RNase complex)",10,10,0.64189914159281,1
"GO:0033313","BP","meiotic cell cycle checkpoint signaling",10,10,0.641918992434271,1
"GO:0120016","MF","sphingolipid transfer activity",10,10,0.642076572336813,1
"GO:0003171","BP","atrioventricular valve development",31,30,0.642270418277934,1
"GO:0031294","BP","lymphocyte costimulation",49,47,0.642491518133465,1
"GO:0050922","BP","negative regulation of chemotaxis",49,47,0.64275950183808,1
"GO:0030681","CC","multimeric ribonuclease P complex",10,10,0.642772135489206,1
"GO:0033204","MF","ribonuclease P RNA binding",10,10,0.642772135489206,1
"GO:0048263","BP","determination of dorsal identity",10,10,0.642869650780376,1
"GO:0008300","BP","isoprenoid catabolic process",10,10,0.642918064712631,1
"GO:2000134","BP","negative regulation of G1/S transition of mitotic cell cycle",70,67,0.642953094327787,1
"GO:0046627","BP","negative regulation of insulin receptor signaling pathway",50,48,0.642973709579831,1
"GO:0043569","BP","negative regulation of insulin-like growth factor receptor signaling pathway",10,10,0.643091358259948,1
"GO:0046467","BP","membrane lipid biosynthetic process",159,152,0.643177835524686,1
"GO:0043632","BP","modification-dependent macromolecule catabolic process",689,659,0.643297985278002,1
"GO:1905634","BP","regulation of protein localization to chromatin",10,10,0.643483225387451,1
"GO:0031419","MF","cobalamin binding",10,10,0.643652761994598,1
"GO:0048874","BP","host-mediated modulation of intestinal microbiota composition",10,10,0.643709998865232,1
"GO:0003081","BP","regulation of systemic arterial blood pressure by renin-angiotensin",29,28,0.643761907802244,1
"GO:0002637","BP","regulation of immunoglobulin production",71,68,0.643789402638917,1
"GO:0051100","BP","negative regulation of binding",50,48,0.643814043295799,1
"GO:0016857","MF","racemase and epimerase activity, acting on carbohydrates and derivatives",10,10,0.643875439770489,1
"GO:1904669","BP","ATP export",10,10,0.643945868603199,1
"GO:0002476","BP","antigen processing and presentation of endogenous peptide antigen via MHC class Ib",10,10,0.644006216517619,1
"GO:0002484","BP","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway",10,10,0.644006216517619,1
"GO:0010638","BP","positive regulation of organelle organization",504,482,0.644032673615985,1
"GO:0033034","BP","positive regulation of myeloid cell apoptotic process",10,10,0.644423002824773,1
"GO:0002420","BP","natural killer cell mediated cytotoxicity directed against tumor cell target",10,10,0.644553903143617,1
"GO:0070383","BP","DNA cytosine deamination",9,9,0.644859787964984,1
"GO:0070327","BP","thyroid hormone transport",10,10,0.645019360760987,1
"GO:1901072","BP","glucosamine-containing compound catabolic process",10,10,0.64508175350598,1
"GO:1990573","BP","potassium ion import across plasma membrane",51,49,0.645245523159366,1
"GO:0002855","BP","regulation of natural killer cell mediated immune response to tumor cell",10,10,0.645436820654703,1
"GO:0070102","BP","interleukin-6-mediated signaling pathway",28,27,0.645476338807695,1
"GO:2000234","BP","positive regulation of rRNA processing",10,10,0.645658244251843,1
"GO:0050859","BP","negative regulation of B cell receptor signaling pathway",10,10,0.645680906028114,1
"GO:2000353","BP","positive regulation of endothelial cell apoptotic process",28,27,0.645959995924249,1
"GO:0051443","BP","positive regulation of ubiquitin-protein transferase activity",10,10,0.646057881852184,1
"GO:0030656","BP","regulation of vitamin metabolic process",10,10,0.646129819562798,1
"GO:0071492","BP","cellular response to UV-A",10,10,0.646544904905775,1
"GO:0019530","BP","taurine metabolic process",10,10,0.646746857309635,1
"GO:0019694","BP","alkanesulfonate metabolic process",10,10,0.646746857309635,1
"GO:0071889","MF","14-3-3 protein binding",31,30,0.646835129195636,1
"GO:0015165","MF","pyrimidine nucleotide-sugar transmembrane transporter activity",10,10,0.647092918218965,1
"GO:0070739","MF","protein-glutamic acid ligase activity",10,10,0.647099227524045,1
"GO:0070740","MF","tubulin-glutamic acid ligase activity",10,10,0.647099227524045,1
"GO:1905461","BP","positive regulation of vascular associated smooth muscle cell apoptotic process",10,10,0.647121246244096,1
"GO:0030157","BP","pancreatic juice secretion",10,10,0.647136588600393,1
"GO:0001967","BP","suckling behavior",10,10,0.647258516692605,1
"GO:0006024","BP","glycosaminoglycan biosynthetic process",30,29,0.64734505285545,1
"GO:0044828","BP","host-mediated suppression of viral genome replication",10,10,0.64735675813331,1
"GO:0030957","MF","Tat protein binding",10,10,0.647385591357312,1
"GO:0006107","BP","oxaloacetate metabolic process",10,10,0.647418160691813,1
"GO:0106015","BP","negative regulation of inflammatory response to wounding",10,10,0.647489034922514,1
"GO:0042564","CC","NLS-dependent protein nuclear import complex",10,10,0.647559898053251,1
"GO:0030643","BP","intracellular phosphate ion homeostasis",10,10,0.647589986251929,1
"GO:0071287","BP","cellular response to manganese ion",10,10,0.647634628741418,1
"GO:0070862","BP","negative regulation of protein exit from endoplasmic reticulum",10,10,0.647923521883443,1
"GO:0016239","BP","positive regulation of macroautophagy",93,89,0.648044814885388,1
"GO:0038130","BP","ERBB4 signaling pathway",10,10,0.648092544056656,1
"GO:2000401","BP","regulation of lymphocyte migration",69,66,0.64822996992086,1
"GO:0071838","BP","cell proliferation in bone marrow",10,10,0.648252478430687,1
"GO:0019215","MF","intermediate filament binding",10,10,0.648280319226474,1
"GO:0006534","BP","cysteine metabolic process",10,10,0.648312559209072,1
"GO:0048194","BP","Golgi vesicle budding",10,10,0.648345542988522,1
"GO:0015205","MF","nucleobase transmembrane transporter activity",10,10,0.648380312247711,1
"GO:2000109","BP","regulation of macrophage apoptotic process",10,10,0.648489728768624,1
"GO:0060384","BP","innervation",30,29,0.648570118053018,1
"GO:0045717","BP","negative regulation of fatty acid biosynthetic process",28,27,0.64885518194863,1
"GO:0007168","BP","receptor guanylyl cyclase signaling pathway",10,10,0.648905603985873,1
"GO:0034594","MF","phosphatidylinositol trisphosphate phosphatase activity",10,10,0.648907771595034,1
"GO:0032908","BP","regulation of transforming growth factor beta1 production",10,10,0.648927902566646,1
"GO:0099558","BP","maintenance of synapse structure",30,29,0.648938857487238,1
"GO:0009128","BP","purine nucleoside monophosphate catabolic process",10,10,0.649028099028216,1
"GO:0009235","BP","cobalamin metabolic process",10,10,0.64919407326063,1
"GO:1901856","BP","negative regulation of cellular respiration",10,10,0.649254963857235,1
"GO:0043921","BP","host-mediated perturbation of viral transcription",29,28,0.649262272581761,1
"GO:0035634","BP","response to stilbenoid",10,10,0.649304743788077,1
"GO:0022602","BP","ovulation cycle process",50,48,0.649380230973089,1
"GO:0043303","BP","mast cell degranulation",49,47,0.649414738598804,1
"GO:0022011","BP","myelination in peripheral nervous system",30,29,0.649505172426794,1
"GO:0032292","BP","peripheral nervous system axon ensheathment",30,29,0.649505172426794,1
"GO:0007006","BP","mitochondrial membrane organization",113,108,0.649508857369194,1
"GO:0006879","BP","intracellular iron ion homeostasis",71,68,0.649534868212043,1
"GO:0071073","BP","positive regulation of phospholipid biosynthetic process",10,10,0.649602904563086,1
"GO:0042451","BP","purine nucleoside biosynthetic process",10,10,0.649640532734237,1
"GO:0042455","BP","ribonucleoside biosynthetic process",10,10,0.649640532734237,1
"GO:0046129","BP","purine ribonucleoside biosynthetic process",10,10,0.649640532734237,1
"GO:0019062","BP","virion attachment to host cell",10,10,0.649668519772122,1
"GO:0008175","MF","tRNA methyltransferase activity",29,28,0.649684121391351,1
"GO:0006692","BP","prostanoid metabolic process",48,46,0.649761979101329,1
"GO:0016594","MF","glycine binding",10,10,0.649821211250291,1
"GO:1902117","BP","positive regulation of organelle assembly",94,90,0.650107105447851,1
"GO:1902306","BP","negative regulation of sodium ion transmembrane transport",10,10,0.650125802763298,1
"GO:0005221","MF","intracellularly cyclic nucleotide-activated monoatomic cation channel activity",10,10,0.650192293197426,1
"GO:0043855","MF","cyclic nucleotide-activated monoatomic ion channel activity",10,10,0.650192293197426,1
"GO:0004955","MF","prostaglandin receptor activity",10,10,0.650209834242699,1
"GO:0031125","BP","rRNA 3'-end processing",10,10,0.650327883924762,1
"GO:0002317","BP","plasma cell differentiation",10,10,0.650359323990516,1
"GO:0016174","MF","NAD(P)H oxidase H2O2-forming activity",10,10,0.650364454907379,1
"GO:0001660","BP","fever generation",10,10,0.650473458422768,1
"GO:0032525","BP","somite rostral/caudal axis specification",10,10,0.650572902407905,1
"GO:0032793","BP","positive regulation of CREB transcription factor activity",10,10,0.650640750201574,1
"GO:0060947","BP","cardiac vascular smooth muscle cell differentiation",10,10,0.6506978734871,1
"GO:0038060","BP","nitric oxide-cGMP-mediated signaling",10,10,0.650763666883726,1
"GO:0050815","MF","phosphoserine residue binding",10,10,0.650820965415089,1
"GO:1990144","BP","intrinsic apoptotic signaling pathway in response to hypoxia",10,10,0.6508729953787,1
"GO:0046689","BP","response to mercury ion",10,10,0.650946354438103,1
"GO:1905562","BP","regulation of vascular endothelial cell proliferation",47,45,0.651025511339053,1
"GO:0048630","BP","skeletal muscle tissue growth",10,10,0.651099389005321,1
"GO:0000447","BP","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",10,10,0.651151433004127,1
"GO:1903998","BP","regulation of eating behavior",10,10,0.651152655470503,1
"GO:0002837","BP","regulation of immune response to tumor cell",29,28,0.651159344943698,1
"GO:0019531","MF","oxalate transmembrane transporter activity",10,10,0.651177520202161,1
"GO:0030292","MF","protein tyrosine kinase inhibitor activity",10,10,0.651185701416957,1
"GO:0035360","BP","positive regulation of peroxisome proliferator activated receptor signaling pathway",10,10,0.651333707207405,1
"GO:0032627","BP","interleukin-23 production",10,10,0.651374461371603,1
"GO:0032667","BP","regulation of interleukin-23 production",10,10,0.651374461371603,1
"GO:0048149","BP","behavioral response to ethanol",10,10,0.651431427297384,1
"GO:0000153","CC","cytoplasmic ubiquitin ligase complex",10,10,0.651474204050399,1
"GO:0051054","BP","positive regulation of DNA metabolic process",274,262,0.651478190571227,1
"GO:0090307","BP","mitotic spindle assembly",71,68,0.651661166632529,1
"GO:0150172","BP","regulation of phosphatidylcholine metabolic process",10,10,0.651694527605368,1
"GO:1902510","BP","regulation of apoptotic DNA fragmentation",10,10,0.651755548184502,1
"GO:1903624","BP","regulation of DNA catabolic process",10,10,0.651755548184502,1
"GO:0042608","MF","T cell receptor binding",10,10,0.651765643638447,1
"GO:0071670","BP","smooth muscle cell chemotaxis",10,10,0.651879037448214,1
"GO:0004935","MF","adrenergic receptor activity",10,10,0.651908874930857,1
"GO:0051307","BP","meiotic chromosome separation",10,10,0.651913001356383,1
"GO:0006222","BP","UMP biosynthetic process",10,10,0.651937140712959,1
"GO:0042538","BP","hyperosmotic salinity response",10,10,0.651964084940734,1
"GO:0015808","BP","L-alanine transport",10,10,0.652010069244309,1
"GO:0032272","BP","negative regulation of protein polymerization",72,69,0.652041608874478,1
"GO:1990877","CC","FNIP-folliculin RagC/D GAP",10,10,0.652145199231747,1
"GO:0005080","MF","protein kinase C binding",50,48,0.65224555940815,1
"GO:0001408","BP","guanine nucleotide transport",10,10,0.652251563329411,1
"GO:0014701","CC","junctional sarcoplasmic reticulum membrane",10,10,0.652256513940158,1
"GO:0070344","BP","regulation of fat cell proliferation",10,10,0.652340123494921,1
"GO:0043312","BP","neutrophil degranulation",10,10,0.652347125369773,1
"GO:0004382","MF","GDP phosphatase activity",10,10,0.652409486795563,1
"GO:0034351","BP","negative regulation of glial cell apoptotic process",10,10,0.652486347023633,1
"GO:0180055","BP","response to metal ion starvation",10,10,0.652517126634699,1
"GO:0035256","MF","G protein-coupled glutamate receptor binding",10,10,0.652551901852361,1
"GO:0051286","CC","cell tip",10,10,0.652632193565426,1
"GO:1900745","BP","positive regulation of p38MAPK cascade",29,28,0.652691922543021,1
"GO:0051894","BP","positive regulation of focal adhesion assembly",30,29,0.652872478819523,1
"GO:1903980","BP","positive regulation of microglial cell activation",9,9,0.652884400021353,1
"GO:0008097","MF","5S rRNA binding",10,10,0.652991094697818,1
"GO:0043653","BP","mitochondrial fragmentation involved in apoptotic process",10,10,0.653148914845769,1
"GO:0007175","BP","negative regulation of epidermal growth factor-activated receptor activity",10,10,0.653180112153454,1
"GO:0007176","BP","regulation of epidermal growth factor-activated receptor activity",10,10,0.653180112153454,1
"GO:1903348","BP","positive regulation of bicellular tight junction assembly",10,10,0.653200083229231,1
"GO:0005522","MF","profilin binding",10,10,0.653224621388133,1
"GO:1903689","BP","regulation of wound healing, spreading of epidermal cells",10,10,0.653298823608553,1
"GO:0070729","BP","cyclic nucleotide transport",10,10,0.653370275252056,1
"GO:0042166","MF","acetylcholine binding",10,10,0.653446199491499,1
"GO:0031652","BP","positive regulation of heat generation",10,10,0.653471406544796,1
"GO:0031080","CC","nuclear pore outer ring",10,10,0.653541424350297,1
"GO:0021603","BP","cranial nerve formation",10,10,0.653630812918856,1
"GO:0035267","CC","NuA4 histone acetyltransferase complex",28,27,0.653654056805063,1
"GO:0043189","CC","H4/H2A histone acetyltransferase complex",28,27,0.653654056805063,1
"GO:1905521","BP","regulation of macrophage migration",48,46,0.653698161581999,1
"GO:0001094","MF","TFIID-class transcription factor complex binding",10,10,0.653768500091489,1
"GO:0051715","BP","cytolysis in another organism",9,9,0.653773136417367,1
"GO:1903900","BP","regulation of viral life cycle",112,107,0.653854168306579,1
"GO:1902460","BP","regulation of mesenchymal stem cell proliferation",9,9,0.653874717984375,1
"GO:0070990","MF","snRNP binding",10,10,0.653883542338483,1
"GO:1903010","BP","regulation of bone development",10,10,0.653901257081138,1
"GO:0043225","MF","ATPase-coupled inorganic anion transmembrane transporter activity",10,10,0.654040951426075,1
"GO:0044854","BP","plasma membrane raft assembly",10,10,0.65410128476536,1
"GO:0097136","CC","Bcl-2 family protein complex",10,10,0.654117132999145,1
"GO:1903276","BP","regulation of sodium ion export across plasma membrane",10,10,0.654253246554131,1
"GO:1903278","BP","positive regulation of sodium ion export across plasma membrane",10,10,0.654253246554131,1
"GO:0005164","MF","tumor necrosis factor receptor binding",29,28,0.654256472664864,1
"GO:0090311","BP","regulation of protein deacetylation",10,10,0.654299215305512,1
"GO:0060536","BP","cartilage morphogenesis",10,10,0.654323158988165,1
"GO:0099122","MF","RNA polymerase II C-terminal domain binding",10,10,0.654369976779288,1
"GO:0031295","BP","T cell costimulation",48,46,0.654387887131842,1
"GO:1903077","BP","negative regulation of protein localization to plasma membrane",29,28,0.654454365891742,1
"GO:0001939","CC","female pronucleus",10,10,0.654547521788513,1
"GO:0071782","CC","endoplasmic reticulum tubular network",29,28,0.654548886759878,1
"GO:0035871","BP","protein K11-linked deubiquitination",10,10,0.654576269712084,1
"GO:0060333","BP","type II interferon-mediated signaling pathway",29,28,0.654586332320425,1
"GO:1990859","BP","cellular response to endothelin",10,10,0.654625358862996,1
"GO:0010807","BP","regulation of synaptic vesicle priming",10,10,0.654637962862129,1
"GO:0006048","BP","UDP-N-acetylglucosamine biosynthetic process",10,10,0.654645647084856,1
"GO:0097503","BP","sialylation",10,10,0.654703985032477,1
"GO:0035999","BP","tetrahydrofolate interconversion",10,10,0.654799079927033,1
"GO:0000723","BP","telomere maintenance",159,152,0.654814264192676,1
"GO:0050798","BP","activated T cell proliferation",47,45,0.654870156803391,1
"GO:0099538","BP","synaptic signaling via neuropeptide",10,10,0.654880719963252,1
"GO:0042430","BP","indole-containing compound metabolic process",28,27,0.654927278991349,1
"GO:0017121","BP","plasma membrane phospholipid scrambling",29,28,0.654998148232427,1
"GO:0047676","MF","arachidonate-CoA ligase activity",10,10,0.655084981371227,1
"GO:0009750","BP","response to fructose",10,10,0.655144417726245,1
"GO:0097197","CC","tetraspanin-enriched microdomain",10,10,0.65521731245511,1
"GO:0070562","BP","regulation of vitamin D receptor signaling pathway",10,10,0.655239517884895,1
"GO:0016102","BP","diterpenoid biosynthetic process",10,10,0.655248917633402,1
"GO:0009138","BP","pyrimidine nucleoside diphosphate metabolic process",10,10,0.655285339210722,1
"GO:0097021","BP","lymphocyte migration into lymphoid organs",10,10,0.6552989174246,1
"GO:0019107","MF","myristoyltransferase activity",10,10,0.655322861030995,1
"GO:0000235","CC","astral microtubule",10,10,0.655481687409133,1
"GO:0005818","CC","aster",10,10,0.655481687409133,1
"GO:0035701","BP","hematopoietic stem cell migration",10,10,0.655556348579159,1
"GO:0006625","BP","protein targeting to peroxisome",10,10,0.655559649067265,1
"GO:0046940","BP","nucleoside monophosphate phosphorylation",10,10,0.6555830794662,1
"GO:0030970","BP","retrograde protein transport, ER to cytosol",29,28,0.655585169899653,1
"GO:1903513","BP","endoplasmic reticulum to cytosol transport",29,28,0.655585169899653,1
"GO:0015801","BP","aromatic amino acid transport",10,10,0.655630030316316,1
"GO:0006307","BP","DNA alkylation repair",10,10,0.65566406575269,1
"GO:0034243","BP","regulation of transcription elongation by RNA polymerase II",93,89,0.655930560781873,1
"GO:0006569","BP","L-tryptophan catabolic process",9,9,0.65596079822887,1
"GO:0042436","BP","indole-containing compound catabolic process",9,9,0.65596079822887,1
"GO:0017119","CC","Golgi transport complex",10,10,0.65600189750855,1
"GO:0003401","BP","axis elongation",30,29,0.656034939794308,1
"GO:0060052","BP","neurofilament cytoskeleton organization",10,10,0.656047115925374,1
"GO:0031946","BP","regulation of glucocorticoid biosynthetic process",10,10,0.656289322016014,1
"GO:2001223","BP","negative regulation of neuron migration",10,10,0.656296256823759,1
"GO:0038129","BP","ERBB3 signaling pathway",10,10,0.656318694944138,1
"GO:0015866","BP","ADP transport",10,10,0.656319230747919,1
"GO:1903047","BP","mitotic cell cycle process",755,722,0.656321668302152,1
"GO:0036408","MF","histone H3K14 acetyltransferase activity",10,10,0.656339747043638,1
"GO:0046634","BP","regulation of alpha-beta T cell activation",114,109,0.656378309481961,1
"GO:0046548","BP","retinal rod cell development",10,10,0.656397095322578,1
"GO:0002318","BP","myeloid progenitor cell differentiation",10,10,0.656466066581995,1
"GO:0021801","BP","cerebral cortex radial glia-guided migration",30,29,0.656487123174204,1
"GO:0022030","BP","telencephalon glial cell migration",30,29,0.656487123174204,1
"GO:0090370","BP","negative regulation of cholesterol efflux",25,24,0.656490625751247,1
"GO:0007198","BP","adenylate cyclase-inhibiting serotonin receptor signaling pathway",10,10,0.656536228043562,1
"GO:0061626","BP","pharyngeal arch artery morphogenesis",10,10,0.656581351483229,1
"GO:1902750","BP","negative regulation of cell cycle G2/M phase transition",71,68,0.65659787310906,1
"GO:2000311","BP","regulation of AMPA receptor activity",10,10,0.656641589850777,1
"GO:0005536","MF","D-glucose binding",10,10,0.656655765020187,1
"GO:0090279","BP","regulation of calcium ion import",47,45,0.656691985167937,1
"GO:0045607","BP","regulation of inner ear auditory receptor cell differentiation",10,10,0.656718631205287,1
"GO:0045631","BP","regulation of mechanoreceptor differentiation",10,10,0.656718631205287,1
"GO:2000980","BP","regulation of inner ear receptor cell differentiation",10,10,0.656718631205287,1
"GO:0003253","BP","cardiac neural crest cell migration involved in outflow tract morphogenesis",10,10,0.656742464263366,1
"GO:0031017","BP","exocrine pancreas development",10,10,0.656851683850111,1
"GO:0060767","BP","epithelial cell proliferation involved in prostate gland development",10,10,0.656879759171986,1
"GO:0003418","BP","growth plate cartilage chondrocyte differentiation",10,10,0.656895759690304,1
"GO:0070432","BP","regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway",10,10,0.656904986148339,1
"GO:0006188","BP","IMP biosynthetic process",10,10,0.656978379609521,1
"GO:0032356","MF","oxidized DNA binding",10,10,0.657021202779178,1
"GO:0004180","MF","carboxypeptidase activity",48,46,0.657033775555991,1
"GO:0016717","MF","oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water",10,10,0.657034734176188,1
"GO:0031461","CC","cullin-RING ubiquitin ligase complex",202,193,0.657209476324913,1
"GO:0140999","MF","histone H3K4 trimethyltransferase activity",10,10,0.657328238355389,1
"GO:0030638","BP","polyketide metabolic process",9,9,0.657359786684983,1
"GO:0044598","BP","doxorubicin metabolic process",9,9,0.657359786684983,1
"GO:0033210","BP","leptin-mediated signaling pathway",10,10,0.657387148416567,1
"GO:0140666","MF","annealing activity",10,10,0.657409017167599,1
"GO:0006784","BP","heme A biosynthetic process",10,10,0.657439662180119,1
"GO:0046160","BP","heme a metabolic process",10,10,0.657439662180119,1
"GO:1903332","BP","regulation of protein folding",10,10,0.657460408540913,1
"GO:0098505","MF","G-rich strand telomeric DNA binding",10,10,0.657513036875167,1
"GO:0014848","BP","urinary tract smooth muscle contraction",10,10,0.657641784606439,1
"GO:0030002","BP","intracellular monoatomic anion homeostasis",10,10,0.657714470060919,1
"GO:0030644","BP","intracellular chloride ion homeostasis",10,10,0.657714470060919,1
"GO:0032094","BP","response to food",49,47,0.657793136161955,1
"GO:0060040","BP","retinal bipolar neuron differentiation",10,10,0.657823278268531,1
"GO:0007494","BP","midgut development",10,10,0.65783860633222,1
"GO:0019941","BP","modification-dependent protein catabolic process",684,654,0.657906650946546,1
"GO:0071166","BP","ribonucleoprotein complex localization",10,10,0.658034355464453,1
"GO:1901655","BP","cellular response to ketone",114,109,0.658050455840267,1
"GO:0006013","BP","mannose metabolic process",10,10,0.658090963722183,1
"GO:0009757","BP","hexose mediated signaling",10,10,0.658185514658077,1
"GO:0010182","BP","sugar mediated signaling pathway",10,10,0.658185514658077,1
"GO:0010255","BP","glucose mediated signaling pathway",10,10,0.658185514658077,1
"GO:0045063","BP","T-helper 1 cell differentiation",29,28,0.658252407267534,1
"GO:0075522","BP","IRES-dependent viral translational initiation",10,10,0.658260111477687,1
"GO:0002295","BP","T-helper cell lineage commitment",29,28,0.65831539246153,1
"GO:0090009","BP","primitive streak formation",10,10,0.658333835421739,1
"GO:0007194","BP","negative regulation of adenylate cyclase activity",10,10,0.658361244896248,1
"GO:0004143","MF","ATP-dependent diacylglycerol kinase activity",10,10,0.658420784089513,1
"GO:0046834","BP","lipid phosphorylation",10,10,0.658420784089513,1
"GO:1990090","BP","cellular response to nerve growth factor stimulus",50,48,0.658425363517639,1
"GO:0031848","BP","protection from non-homologous end joining at telomere",10,10,0.658429176489255,1
"GO:0007084","BP","mitotic nuclear membrane reassembly",10,10,0.658608154062397,1
"GO:0101024","BP","mitotic nuclear membrane organization",10,10,0.658608154062397,1
"GO:0060068","BP","vagina development",10,10,0.658612925458857,1
"GO:0031509","BP","subtelomeric heterochromatin formation",10,10,0.658627309665668,1
"GO:0032388","BP","positive regulation of intracellular transport",137,131,0.658675736341718,1
"GO:0021522","BP","spinal cord motor neuron differentiation",30,29,0.658737501018176,1
"GO:2000822","BP","regulation of behavioral fear response",10,10,0.658934376930231,1
"GO:0042799","MF","histone H4K20 methyltransferase activity",10,10,0.65894276799899,1
