"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"BP","GO:0097501","stress response to metal ion",20,0.672494397555662,1.48166488571502,0.005850713083137,0.0326190198440382,0.0228402313617788,4829,"tags=50%, list=20%, signal=40%","SLC30A10/MT1E/MT1M/MT1A/MT3/SLC11A1/MT1H/SLC39A8/MT2A/MT1G"
"BP","GO:0086064","cell communication by electrical coupling involved in cardiac conduction",25,0.637892433632719,1.43016137609668,0.00587260124912796,0.0327187783879986,0.0229100834982092,6037,"tags=68%, list=25%, signal=51%","PDE4D/RYR2/IRX3/ATP1B2/CACNA1C/CAMK2D/SLC8A1/CAV1/ATP1A1/SRI/TBX5/GJC1/GJD3/PRKACA/ATP1B1/GJA1/ATP1A3"
"BP","GO:0007097","nuclear migration",27,0.626388305405899,1.41241837272363,0.00587850929867436,0.0327294297458484,0.0229175417075229,4916,"tags=52%, list=20%, signal=42%","NTN1/TRIM58/TACC2/SYNE2/TACC1/SLIT1/LMNA/SUN1/HOOK3/DYNC1H1/DCTN1/SYNE3/NUDC/PAFAH1B1"
"BP","GO:0019835","cytolysis",12,0.729566111079772,1.49763395178461,0.00592195242851643,0.0327799049959789,0.0229528850868316,5684,"tags=58%, list=23%, signal=45%","CCL28/SFN/HMSD/RNASE7/PIM1/NINJ1/CAMP"
"BP","GO:0060816","random inactivation of X chromosome",12,0.729456562775433,1.49740907393263,0.00592195242851643,0.0327799049959789,0.0229528850868316,3362,"tags=42%, list=14%, signal=36%","CDYL/SPEN/CIZ1/PCGF5/JARID2"
"BP","GO:0035929","steroid hormone secretion",30,0.623103796469755,1.41881264191321,0.00592359699561035,0.0327799049959789,0.0229528850868316,7705,"tags=57%, list=31%, signal=39%","C1QTNF1/AGTR1/GALR1/TAC1/INHBA/POMC/KCNQ1/ECRG4/WNK4/SPP1/DAB2/CRHR1/CRY2/KCNK9/CRH/GHRL/GDF9"
"BP","GO:0030947","regulation of vascular endothelial growth factor receptor signaling pathway",37,0.601661615128554,1.38141501937363,0.00592359699561035,0.0327799049959789,0.0229528850868316,8039,"tags=65%, list=33%, signal=44%","DLL1/MT3/PRKCB/PRKD2/FGF9/NEDD4/NRP1/EMILIN1/HHEX/VEGFC/TMEM204/HIF1A/IL1B/ITGA5/DAB2IP/VEGFB/FGF18/MIR10A/GRB10/ROBO1/MIR10B/FGF10/ARNT/ITGB3"
"BP","GO:0046717","acid secretion",39,0.591708623528675,1.361423070057,0.00592359699561035,0.0327799049959789,0.0229528850868316,7553,"tags=62%, list=31%, signal=43%","GABBR1/TRH/SLC51A/SGK1/DRD2/NMU/CASR/KCNQ1/ABCB4/SCT/PTGER3/NF1/HIP1R/BEST1/APBA1/CACNB4/P2RX7/SLC9A4/TNF/TRPC4/ACACB/SNX10/GHRL/ABAT"
"BP","GO:0071470","cellular response to osmotic stress",57,0.554134084103022,1.30490136325192,0.00591767339861474,0.0327799049959789,0.0229528850868316,5273,"tags=40%, list=21%, signal=32%","FBP1/AKR1B1/AQP5/RCSD1/SLC4A11/ZFP36L1/PYCARD/EFHD1/LRRC8D/TRPV4/TRPV3/EPO/NLRP3/PTGS2/LRRC8C/BDKRB2/ATP1A1/VPS13A/ARHGEF2/NINJ1/WNK1/RPTOR/MYLK"
"BP","GO:0032623","interleukin-2 production",61,0.549027237200983,1.29749120501788,0.00591176163697776,0.0327799049959789,0.0229528850868316,7788,"tags=48%, list=32%, signal=33%","GATA3/PDE4D/SPTBN1/RUNX1/HDAC7/IRF4/IL1A/PRKD2/CARD9/TRAF6/CARD11/VTCN1/STAT5A/TBX21/CD34/LAG3/CR1/PRKACA/STAT5B/NAV3/IL1B/IL20RB/PDE4B/PRKCQ/HOMER3/CCR2/TNFAIP3/PRNP/ABL1"
"BP","GO:0032663","regulation of interleukin-2 production",61,0.549027237200983,1.29749120501788,0.00591176163697776,0.0327799049959789,0.0229528850868316,7788,"tags=48%, list=32%, signal=33%","GATA3/PDE4D/SPTBN1/RUNX1/HDAC7/IRF4/IL1A/PRKD2/CARD9/TRAF6/CARD11/VTCN1/STAT5A/TBX21/CD34/LAG3/CR1/PRKACA/STAT5B/NAV3/IL1B/IL20RB/PDE4B/PRKCQ/HOMER3/CCR2/TNFAIP3/PRNP/ABL1"
